PageName,ElementCount,PopupOpened,WindowCount,HasIframes,IframeCount,ProcessingTime_ms,PageURL,PageTitle,ErrorOccurred,ErrorMessage,Timestamp,InputCount,SelectCount,TextareaCount,TotalInputElements,VisibleInputs,HiddenInputs
Authorise/Delete TFS Transactions,0,Yes,2,Yes,1,8452,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,Unauthorised TFS - Model Bank,No,,2026-02-02 23:43:17,221,0,0,221,0,221
Reverse TFS Transaction - History,0,Yes,2,Yes,1,8289,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,Reverse TFS Transaction - Model Bank,No,,2026-02-02 23:43:01,221,0,0,221,0,221
Authorise/Delete Account Transfer,0,Yes,2,Yes,1,8886,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,Authorise/Delete Account - Model Bank,No,,2026-02-02 23:37:48,221,0,0,221,0,221
Authorise/Delete Foreign Cheques,0,Yes,2,Yes,1,8097,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,Authorise/Delete Foreign Cheques - Model Bank,No,,2026-02-02 23:57:57,221,0,0,221,0,221
Unauthorised Cheque Issue,0,Yes,2,Yes,1,8673,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,Unauthorised Cheque Issue - Model Bank,No,,2026-02-02 23:48:45,221,0,0,221,0,221
Authorise/Delete Outward Clearing,0,Yes,2,Yes,1,8418,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,Authorise/Delete Outward Clearing - Model Bank,No,,2026-02-02 23:53:45,221,0,0,221,0,221
Authorise/Delete Cancellation of LCY Drafts,0,Yes,2,Yes,1,8996,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,Authorise Cancellation of Drafts - Model Bank,No,,2026-02-02 23:46:54,221,0,0,221,0,221
Reverse TFS Transaction,0,Yes,2,Yes,1,8459,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,Reverse TFS Transaction - Model Bank,No,,2026-02-02 23:42:45,221,0,0,221,0,221
Authorise/Delete Revoke Stop Payment of Draft,0,Yes,2,Yes,1,8730,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,Authorise/Delete Revoke - Model Bank,No,,2026-02-02 23:46:18,221,0,0,221,0,221
Authorise/Delete Revoke Payment Stop,0,Yes,2,Yes,1,8582,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,Authorise/Delete Revoke - Model Bank,No,,2026-02-02 23:50:06,221,0,0,221,0,221
Authorise / Delete Issue of Cheques,0,Yes,2,Yes,1,8490,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,Authorise/Delete Cheque Issue - Model Bank,No,,2026-02-02 23:49:01,221,0,0,221,0,221
Unrealised Outstation Cheques,0,Yes,2,Yes,1,8251,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,Pending Outstation Cheques - Model Bank,No,,2026-02-03 00:00:13,221,0,0,221,0,221
Unauthorised Cheque Collection,0,Yes,2,Yes,1,8225,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,Unauthorised Cheque Issue - Model Bank,No,,2026-02-02 23:58:56,221,0,0,221,0,221
Unauthorised Cheque Collection,0,Yes,2,Yes,1,8127,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,Unauthorised Cheque Issue - Model Bank,No,,2026-02-02 23:59:12,221,0,0,221,0,221
Authorise/Delete Outstation Cheques,0,Yes,2,Yes,1,8696,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,Authorise/Delete Outward Clearing - Model Bank,No,,2026-02-02 23:56:17,221,0,0,221,0,221
Till TC Buy Entries Today,0,Yes,2,No,0,7129,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,Till TC Buy Entries Today - Model Bank,No,,2026-02-02 23:40:31,175,5,0,180,5,170
Till TC Issue Entries Today,0,Yes,2,No,0,7176,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,Till Cash Entries Today - Model Bank,No,,2026-02-02 23:40:19,175,5,0,180,5,170
Till Cash Entries Today,0,Yes,2,No,0,7140,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,Till Cash Entries Today - Model Bank,No,,2026-02-02 23:40:07,173,7,0,180,5,168
External Product Catalog,0,Yes,2,No,0,9254,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,AA Product Catalog (Retail) - Model Bank,No,,2026-02-02 23:25:21,4,0,0,4,0,4
